data,gdp,val
158,81.2,1.2565
159,81.2,1.3103
160,81.2,1.3571
161,81.2,1.3470
162,81.2,1.3341
163,81.2,1.3134
164,81.2,1.3098
165,81.2,1.3073
166,81.2,1.3282
167,81.2,1.3099
168,81.2,1.2018
169,81.2,1.1518
170,79.4,1.0918
171,79.4,1.0798
172,79.4,1.0725
173,79.4,1.0588
174,79.4,1.0901
175,79.4,1.1062
176,79.4,1.1130
177,79.4,1.1009
178,79.4,1.0698
179,79.4,0.9516
180,79.4,0.8293
181,79.4,0.9181
182,78.1,0.9240
183,78.1,0.9307
184,78.1,0.9259
185,78.1,0.9091
186,78.1,0.9136
187,78.1,0.9438
188,78.1,1.0094
189,78.1,1.0476
190,78.1,1.1341
191,78.1,1.1530
192,78.1,1.1039
193,78.1,1.2302
194,78.4,1.3358
195,78.4,1.4474
196,78.4,1.5106
197,78.4,1.5235
198,78.4,1.5538
199,78.4,1.5886
200,78.4,1.5990
201,78.4,1.5349
202,78.4,1.5138
203,78.4,1.4865
204,78.4,1.5279
205,78.4,1.5244
206,79.9,1.5145
207,79.9,1.5590
208,79.9,1.5720
209,79.9,1.5646
210,79.9,1.5725
211,79.9,1.5770
212,79.9,1.5508
213,79.9,1.6034
214,79.9,1.6562
215,79.9,1.6290
216,79.9,1.4322
217,79.9,1.3529
