year,value,gdp
2540.01,24.73,63.7
2540.02,24.33,63.7
2540.03,25.46,63.7
2540.04,23.38,63.7
2540.05,23.41,63.7
2540.06,22.47,63.7
2540.07,19.81,63.7
2540.08,22.43,63.7
2540.09,24.93,63.7
2540.1,26.05,63.7
2540.11,23.26,63.7
2540.12,20.74,63.7
2541.01,24.2,68.8
2541.02,29.52,68.8
2541.03,23.77,68.8
2541.04,23.36,68.8
2541.05,24.2,68.8
2541.06,24.84,68.8
2541.07,24.85,68.8
2541.08,21.65,68.8
2541.09,22.66,68.8
2541.1,23.14,68.8
2541.11,19.58,68.8
2541.12,16.44,68.8
2542.01,18.5,69
2542.02,18.07,69
2542.03,17.45,69
2542.04,16.19,69
2542.05,17.09,69
2542.06,17.77,69
2542.07,15.43,69
2542.08,15.28,69
2542.09,17.86,69
2542.1,19.63,69
2542.11,22.23,69
2542.12,19.4,69
2543.01,19.28,70.1
2543.02,22.59,70.1
2543.03,20.2,70.1
2543.04,21.31,70.1
2543.05,21.62,70.1
2543.06,20.89,70.1
2543.07,20.56,70.1
2543.08,21.78,70.1
2543.09,22.39,70.1
2543.1,23.03,70.1
2543.11,22.09,70.1
2543.12,21.9,70.1
2544.01,21.75,71.2
2544.02,21.74,71.2
2544.03,20.72,71.2
2544.04,22.01,71.2
2544.05,23.82,71.2
2544.06,24.34,71.2
2544.07,22.6,71.2
2544.08,21.3,71.2
2544.09,19.46,71.2
2544.1,19.11,71.2
2544.11,18.53,71.2
2544.12,15.93,71.2
2545.01,20.14,71.7
2545.02,22.58,71.7
2545.03,23.6,71.7
2545.04,23.32,71.7
2545.05,24.25,71.7
2545.06,29.9,71.7
2545.07,28.82,71.7
2545.08,30.15,71.7
2545.09,32.35,71.7
2545.1,30,71.7
2545.11,29.97,71.7
2545.12,30.16,71.7
2546.01,32.43,73
2546.02,34.82,73
2546.03,38.6,73
2546.04,36.52,73
2546.05,35.23,73
2546.06,36.92,73
2546.07,35.59,73
2546.08,36.94,73
2546.09,38.37,73
2546.1,43.45,73
2546.11,42.94,73
2546.12,39.78,73
2547.01,41.41,75.1
2547.02,41.85,75.1
2547.03,44.57,75.1
2547.04,45.94,75.1
2547.05,47.63,75.1
2547.06,49.72,75.1
2547.07,46.06,75.1
2547.08,44.54,75.1
2547.09,44.68,75.1
2547.1,45.53,75.1
2547.11,43.44,75.1
2547.12,39.94,75.1
2548.01,39.14,78.4
2548.02,41.99,78.4
2548.03,43.5,78.4
2548.04,44.68,78.4
2548.05,46.52,78.4
2548.06,52.22,78.4
2548.07,59.75,78.4
2548.08,58.21,78.4
2548.09,61.47,78.4
2548.1,61.93,78.4
2548.11,56.33,78.4
2548.12,60.57,78.4
2549.01,65.28,82.1
2549.02,69.79,82.1
2549.03,71.95,82.1
2549.04,73.5,82.1
2549.05,81.22,82.1
2549.06,93.45,82.1
2549.07,82.76,82.1
2549.08,69.98,82.1
2549.09,55.71,82.1
2549.1,57.12,82.1
2549.11,47.98,82.1
2549.12,49.47,82.1
2550.01,63.06,83.9
2550.02,72.22,83.9
2550.03,68.17,83.9
2550.04,71.41,83.9
2550.05,73.07,83.9
2550.06,70.8,83.9
2550.07,61.96,83.9
2550.08,63.64,83.9
2550.09,65.44,83.9
2550.1,69.8,83.9
2550.11,74.79,83.9
2550.12,73.3,83.9
2551.01,77.36,88.5
2551.02,80.99,88.5
2551.03,79.3,88.5
2551.04,80.84,88.5
2551.05,85.16,88.5
2551.06,96.05,88.5
2551.07,99.68,88.5
2551.08,90.05,88.5
2551.09,89.74,88.5
2551.1,54.51,88.5
2551.11,50.81,88.5
2551.12,34.09,88.5
2552.01,41.93,87.7
2552.02,44.64,87.7
2552.03,44.18,87.7
2552.04,48.03,87.7
