year,value,gdp
2540.01,6526,63.7
2540.02,6896,63.7
2540.03,7595,63.7
2540.04,7754,63.7
2540.05,7747,63.7
2540.06,8234,63.7
2540.07,8731,63.7
2540.08,9461,63.7
2540.09,8998,63.7
2540.1,8685,63.7
2540.11,7142,63.7
2540.12,7097,63.7
2541.01,8977,68.8
2541.02,9580,68.8
2541.03,8749,68.8
2541.04,8374,68.8
2541.05,8661,68.8
2541.06,8495,68.8
2541.07,8278,68.8
2541.08,8210,68.8
2541.09,8088,68.8
2541.1,7454,68.8
2541.11,6678,68.8
2541.12,6276,68.8
2542.01,6650,69
2542.02,6547,69
2542.03,6459,69
2542.04,6246,69
2542.05,6409,69
2542.06,6455,69
2542.07,6770,69
2542.08,7062,69
2542.09,8061,69
2542.1,7848,69
2542.11,7600,69
2542.12,6600,69
2543.01,6729,70.1
2543.02,6802,70.1
2543.03,6906,70.1
2543.04,6970,70.1
2543.05,7413,70.1
2543.06,7621,70.1
2543.07,8088,70.1
2543.08,8232,70.1
2543.09,7897,70.1
2543.1,7890,70.1
2543.11,7074,70.1
2543.12,6476,70.1
2544.01,6451,71.2
2544.02,6310,71.2
2544.03,5970,71.2
2544.04,5862,71.2
2544.05,5784,71.2
2544.06,5573,71.2
2544.07,5559,71.2
2544.08,5174,71.2
2544.09,4766,71.2
2544.1,4920,71.2
2544.11,4783,71.2
2544.12,4861,71.2
2545.01,4838,71.7
2545.02,4992,71.7
2545.03,5098,71.7
2545.04,5089,71.7
2545.05,5122,71.7
2545.06,5390,71.7
2545.07,6085,71.7
2545.08,6127,71.7
2545.09,6375,71.7
2545.1,6290,71.7
2545.11,6019,71.7
2545.12,5559,71.7
2546.01,5720,73
2546.02,5926,73
2546.03,6771,73
2546.04,7502,73
2546.05,7608,73
2546.06,7916,73
2546.07,8141,73
2546.08,8182,73
2546.09,8995,73
2546.1,7973,73
2546.11,7379,73
2546.12,7614,73
2547.01,8759,75.1
2547.02,8791,75.1
2547.03,9062,75.1
2547.04,9329,75.1
2547.05,9209,75.1
2547.06,8607,75.1
2547.07,7894,75.1
2547.08,7704,75.1
2547.09,7243,75.1
2547.1,7186,75.1
2547.11,7777,75.1
2547.12,7555,75.1
2548.01,7604,78.4
2548.02,7736,78.4
2548.03,7816,78.4
2548.04,7913,78.4
2548.05,7769,78.4
2548.06,7630,78.4
2548.07,7486,78.4
2548.08,7618,78.4
2548.09,7816,78.4
2548.1,7850,78.4
2548.11,7393,78.4
2548.12,7579,78.4
2549.01,7628,82.1
2549.02,7873,82.1
2549.03,7960,82.1
2549.04,8028,82.1
2549.05,8069,82.1
2549.06,8160,82.1
2549.07,8353,82.1
2549.08,8612,82.1
2549.09,8642,82.1
2549.1,8685,82.1
2549.11,8262,82.1
2549.12,7882,82.1
2550.01,8072,83.9
2550.02,8274,83.9
2550.03,8388,83.9
2550.04,8526,83.9
2550.05,8643,83.9
2550.06,8778,83.9
2550.07,8864,83.9
2550.08,9016,83.9
2550.09,9033,83.9
2550.1,9028,83.9
2550.11,8954,83.9
2550.12,9691,83.9
2551.01,10150,88.5
2551.02,11906,88.5
2551.03,12995,88.5
2551.04,17122,88.5
2551.05,17292,88.5
2551.06,15570,88.5
2551.07,14307,88.5
2551.08,13621,88.5
2551.09,13197,88.5
2551.1,13424,88.5
2551.11,127728,88.5
2551.12,12089,88.5
2552.01,12188,87.7
2552.02,12755,87.7
2552.03,13182,87.7
2552.04,13175,87.7
2552.05,13133,87.7
2552.06,13078,87.7
2552.07,13551,87.7
2552.08,13372,87.7
2552.09,14847,87.7
2552.1,15203,87.7
2552.11,13502,87.7
2552.12,14155,87.7
2553.01,14106,90.63
2553.02,14337,90.63
2553.03,13948,90.63
2553.04,13607,90.63
2553.05,13187,90.63
2553.06,12803,90.63
2553.07,13125,90.63
2553.08,13528,90.63
2553.09,13895,90.63
2553.1,14070,90.63
2553.11,13184,90.63
2553.12,12837,90.63
2554.01,12511,94.08
2554.02,12304,94.08
2554.03,11821,94.08
2554.04,12113,94.08
2554.05,12202,94.08
2554.06,12287,94.08
2554.07,12471,94.08
2554.08,12942,94.08
2554.09,13275,94.08
2554.1,14265,94.08
2554.11,15219,94.08
2554.12,15004,94.08

2556.01,15702,99.03
2556.02,16070,99.03
2556.03,15862,99.03
2556.04,15643,99.03
2556.05,15809,99.03
2556.06,15870,99.03
2556.07,15576,99.03
2556.08,15675,99.03
2556.09,15776,99.03
2556.1,15708,99.03
2556.11,14984,99.03
2556.12,14313,99.03
2557.01,14252,100.91
2557.02,14223,100.91
2557.03,14186,100.91
2557.04,13902,100.91
2557.05,13846,100.91
2557.06,13812,100.91
2557.07,13886,100.91
2557.08,13992,100.91
2557.09,14094,100.91
2557.1,14179,100.91
2557.11,13367,100.91
2557.12,11649,100.91
2558.01,12565,100
2558.02,13103,100
2558.03,13571,100
2558.04,13470,100
2558.05,13341,100
2558.06,13134,100
2558.07,13098,100
2558.08,13073,100
2558.09,13282,100
2558.1,13099,100
2558.11,12018,100
2558.12,11518,100
2559.01,10918,100.19
2559.02,10798,100.19
2559.03,10725,100.19
2559.04,10588,100.19
2559.05,10901,100.19
2559.06,11062,100.19
2559.07,11130,100.19
2559.08,11009,100.19
2559.09,10698,100.19
2559.1,9517,100.19
2559.11,8294,100.19
2559.12,9182,100.19
2560.01,9240,100.85
2560.02,9308,100.85
2560.03,9260,100.85
2560.04,9092,100.85
2560.05,9137,100.85
2560.06,9438,100.85
2560.07,10095,100.85
2560.08,10477,100.85
2560.09,11342,100.85
2560.1,11531,100.85
2560.11,11040,100.85
2560.12,12303,100.85
2561.01,13359,101.93
2561.02,14475,101.93
2561.03,15106,101.93
2561.04,15236,101.93
2561.05,15539,101.93
2561.06,15887,101.93
2561.07,15991,101.93
2561.08,15350,101.93
2561.09,15138,101.93
2561.1,14865,101.93
2561.11,15280,101.93
2561.12,15244,101.93
2562.01,15145,102.65
2562.02,15590,102.65
2562.03,15721,102.65
2562.04,15646,102.65
2562.05,15726,102.65
2562.06,15771,102.65
2562.07,15508,102.65
2562.08,16035,102.65
2562.09,16562,102.65
2562.1,1629,102.65
2562.11,14322,102.65
2562.12,13529,102.65
2563.01,13757,101.36
2563.02,13914,101.36
2563.03,13949,101.36
2563.04,14471,101.36
2563.05,14871,101.36
2563.06,14868,101.36
2563.07,14360,101.36
